coverage_cqr_ignore,length_cqr_ignore,coverage_oracle_full,length_oracle_full,coverage_pcp_xr,length_pcp_xr,pcp_xr_frac_inf,pcp_xr_precision,pcp_xr_clusters,pcp_xr_cluster_r2,coverage_pcp_xz,length_pcp_xz,pcp_xz_frac_inf,pcp_xz_precision,pcp_xz_clusters,pcp_xz_cluster_r2,coverage_pcp_xzhat,length_pcp_xzhat,pcp_xzhat_frac_inf,pcp_xzhat_precision,pcp_xzhat_clusters,pcp_xzhat_cluster_r2,coverage_pcp_xrzhat,length_pcp_xrzhat,pcp_xrzhat_frac_inf,pcp_xrzhat_precision,pcp_xrzhat_clusters,pcp_xrzhat_cluster_r2,coverage_em_pcp,length_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,use_x_in_em,em_converged,em_iter,em_loglik
0.9006666666666666,13.241720040091542,0.8953333333333333,15.427053534191305,0.9073333333333333,16.800443954934057,0.0,20.0,1.0,2.220446049250313e-16,0.9123333333333333,17.066052344315697,0.0,20.0,1.0,0.0,0.8953333333333333,15.544942803768595,0.0,20.0,1.0,0.0,0.8863333333333333,14.825410691718417,0.0,20.0,1.0,0.0,0.886,13.685761809921608,0.0,1.0,4.0,,0.7502706307649408,1.3089083230617327,0.7394308057796621,3,4,0.5,False,True,24,-7290.059549090287
0.894,12.920730365881182,0.9093333333333333,15.75902844537627,0.904,15.796440769863267,0.0,20.0,1.0,0.0,0.902,15.690253024738611,0.0,20.0,1.0,0.0,0.878,13.965548653128561,0.0,20.0,1.0,0.0,0.8796666666666667,13.773689170290004,0.0,20.0,1.0,1.1102230246251565e-16,0.8693333333333333,13.380722429245871,0.0,1.0,4.0,,0.7580797341489854,0.5585185597193506,0.7561034977855455,3,4,0.75,False,True,37,-7233.734993522365
0.9096666666666666,13.365402901371429,0.9163333333333333,15.90236653535542,0.9116666666666666,16.42981265004618,0.0,20.0,1.0,0.0,0.9146666666666666,16.751135723743715,0.0,20.0,1.0,0.0,0.862,13.00462217219032,0.0,20.0,1.0,0.0,0.857,12.625529276547839,0.0,20.0,1.0,0.0,0.894,13.988849144254905,0.0,1.0,4.0,,0.757882253685929,0.5275647366335083,0.7067633829781986,3,4,1.0,False,True,77,-7150.353887021691
0.898,13.629184194013595,0.8993333333333333,15.473388093552636,0.8933333333333333,15.717534420483563,0.0,20.0,1.0,0.0,0.8893333333333333,15.488109077393032,0.0,20.0,1.0,2.220446049250313e-16,0.769,9.970694462369906,0.0,20.0,1.0,2.220446049250313e-16,0.729,8.96781681198743,0.0,20.0,1.0,0.0,0.884,14.147173059860188,0.0,1.0,4.0,,0.7632553456728531,0.5484151867497655,0.7427685514424026,3,4,1.5,False,True,59,-7316.562309562456
0.909,13.964335895673244,0.9166666666666666,16.11424483114313,0.906,16.380811488200667,0.0,20.0,1.0,0.0,0.9013333333333333,16.13672344412145,0.0,20.0,1.0,0.0,0.6453333333333333,7.1197598282882995,0.0,20.0,1.0,1.1102230246251565e-16,0.6293333333333333,6.8292154069121676,0.0,20.0,1.0,0.0,0.8883333333333333,14.087466897179775,0.0,1.0,4.0,,0.7634149248768966,0.5456779937175726,0.7305339194437995,3,4,2.0,False,True,31,-7326.227221530331
0.9123333333333333,13.337306664299772,0.906,15.62930975685059,0.9083333333333333,15.903718409383053,0.0,20.0,1.0,0.0,0.9046666666666666,15.678852582232091,0.0,20.0,1.0,0.0,0.902,15.683775161215959,0.0,20.0,1.0,0.0,0.906,15.782970487077904,0.0,20.0,1.0,0.0,0.887,14.864190169280198,0.0,1.0,4.0,,0.7369209868250496,2.121242058655214,0.7796447037572055,4,4,0.5,False,True,18,-7398.418448489168
0.9193333333333333,13.242021971799694,0.91,16.040727481860575,0.9073333333333333,16.22415571831604,0.0,20.0,1.0,0.0,0.914,16.3642867498648,0.0,20.0,1.0,-2.220446049250313e-16,0.8716666666666667,13.379804079688052,0.0,20.0,1.0,0.0,0.8733333333333333,13.44701703105085,0.0,20.0,1.0,0.0,0.891,13.600268450092438,0.0,1.0,4.0,,0.7599090220343787,1.1223793100905728,0.7634171691396864,4,4,0.75,False,True,23,-7332.500600392172
0.902,13.218590658462976,0.8903333333333333,14.888622396521846,0.8966666666666666,15.66975808929113,0.0,20.0,1.0,0.0,0.895,15.502164999680616,0.0,20.0,1.0,0.0,0.8253333333333334,11.832779553526251,0.0,20.0,1.0,0.0,0.836,12.228786335656482,0.0,20.0,1.0,0.0,0.885,14.340168770347804,0.0,1.0,4.0,,0.7627271093820609,0.5380670256501631,0.7201915917081635,4,4,1.0,False,True,42,-7155.031048830691
0.9053333333333333,13.22444321038819,0.9103333333333333,15.086162036018951,0.902,15.519473332334533,0.0,20.0,1.0,0.0,0.9026666666666666,15.26631456987308,0.0,20.0,1.0,0.0,0.7893333333333333,10.875126469816268,0.0,20.0,1.0,-2.220446049250313e-16,0.7776666666666666,10.467605761441998,0.0,20.0,1.0,0.0,0.8873333333333333,13.861424866922787,0.0,1.0,4.0,,0.7602759735644442,0.5658006964269819,0.7625152057932395,4,4,1.5,False,True,82,-7193.620948301375
0.9016666666666666,13.816353023830214,0.904,15.478289518137355,0.9023333333333333,15.986453123079855,0.0,20.0,1.0,0.0,0.899,15.89172151241046,0.0,20.0,1.0,-2.220446049250313e-16,0.652,7.601442325987236,0.0,20.0,1.0,0.0,0.6706666666666666,8.156499623818492,0.0,20.0,1.0,1.1102230246251565e-16,0.8763333333333333,14.250176931237274,0.0,1.0,4.0,,0.7609025137721889,0.5334401508718418,0.7100596772819454,4,4,2.0,False,True,43,-7215.9419142701645
