coverage_oracle,length_oracle,coverage_soft,length_soft,coverage_ignore,length_ignore,len_ratio_soft,len_ratio_ignore,coverage_pcp,length_pcp,len_ratio_pcp,pcp_frac_inf,pcp_precision,pcp_clusters,pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,rho,sigma_y,b_scale,use_x_in_em,em_converged,em_iter,em_loglik
0.9136666666666666,10.051464720595733,0.902,9.88027210439179,0.904,9.90552757650286,0.9829683910790469,0.9854810071815858,0.9033333333333333,10.035088137899454,0.9983707267396836,0.0,20.0,1.0,0.0,0.7023584655988184,9.966662226777286,1.1205945852627737,1,10,1.0,0.0,3.0,1.0,False,True,131,-21046.17292760768
0.903,9.82478250111518,0.901,9.848599004068758,0.8996666666666666,9.798505860805362,1.0024241252110033,0.9973254735861241,0.8933333333333333,9.726929781685813,0.9900402151988341,0.0,20.0,1.0,-2.220446049250313e-16,0.7482508689176424,10.59319534734708,0.9318911140217035,1,10,1.0,0.0,3.0,1.0,True,True,127,-30873.320758721962
0.8986666666666666,3.284540852814663,0.8933333333333333,3.586947371667286,0.8966666666666666,3.599867770487863,1.0920696476018796,1.0960033477443225,0.8993333333333333,3.6089465794155733,1.098767450653845,0.0,20.0,1.0,-2.220446049250313e-16,0.7042452023276917,10.817532708645047,2.123102222640957,1,10,2.0,0.0,1.0,1.0,False,True,174,-21682.149673630236
0.9156666666666666,3.390580285450086,0.916,3.7306522667543875,0.9143333333333333,3.6905769983324777,1.100299049918872,1.088479460041032,0.9106666666666666,3.6741486785597717,1.0836341774080842,0.0,20.0,1.0,2.220446049250313e-16,0.7542059848112628,11.023371098451719,2.236930618367136,1,10,2.0,0.0,1.0,1.0,True,True,137,-31710.9155353577
0.9046666666666666,6.714476885214944,0.902,6.723333379515329,0.8943333333333333,6.628314389671129,1.0013190147872706,0.98716765326372,0.8986666666666666,6.665909425410888,0.992766754486712,0.0,20.0,1.0,1.1102230246251565e-16,0.7077934457963445,8.854640770819927,2.3372823104656155,1,10,2.0,0.0,2.0,1.0,False,True,60,-21667.076594363167
0.9123333333333333,6.797888770743015,0.9113333333333333,6.965108950202492,0.9093333333333333,6.929394933387926,1.0245988401839061,1.0193451477480615,0.9103333333333333,6.940091844896906,1.020918711522011,0.0,20.0,1.0,1.1102230246251565e-16,0.7324027486939869,9.86475358302439,2.1484570423592833,1,10,2.0,0.0,2.0,1.0,True,True,76,-31842.169025432282
0.907,10.069555937824827,0.91,10.237080088328174,0.9036666666666666,10.114616804191073,1.0166366969445064,1.0044749606283014,0.9043333333333333,10.082773871760342,1.0013126630426534,0.0,20.0,1.0,-2.220446049250313e-16,0.7062898975361332,9.893159685503301,2.249466298306791,1,10,2.0,0.0,3.0,1.0,False,True,114,-21911.053417833034
0.908,9.964572828086089,0.9083333333333333,9.997763980955568,0.9056666666666666,9.956850869468822,1.0033309157795431,0.9992250587405511,0.907,10.037309912513937,1.0072995687504869,0.0,20.0,1.0,0.0,0.7372058688776824,9.837882185040561,2.2054447805278135,1,10,2.0,0.0,3.0,1.0,True,True,80,-31951.315808862026
0.9063333333333333,3.336581940586032,0.9123333333333333,3.8782137124167186,0.9133333333333333,4.061315298179262,1.1623313263319872,1.2172083199209365,0.912,3.8917308123903305,1.1663825081145147,0.0,20.0,1.0,1.1102230246251565e-16,0.7295317691220395,10.470611324534792,3.595153171791084,1,10,3.0,0.0,1.0,1.0,False,True,71,-22898.74302161469
0.9023333333333333,3.2887314766657,0.894,3.4895793617727633,0.8996666666666666,3.541877636158899,1.0610715367101646,1.076973800168645,0.902,3.4814697926329226,1.0586056713157475,0.0,20.0,1.0,0.0,0.745922691141006,10.934401257221138,3.875506643668165,1,10,3.0,0.0,1.0,1.0,True,True,71,-32902.04872886716
