trial,seed,method,coverage_rate,avg_length,coverage_vs_scp,length_efficiency_vs_scp,noisy_accuracy,ambiguous_rate
20,585341187,PCP,0.92,54.19555545086906,-0.0010000000000000009,0.9884015541603189,0.833,0.235
21,254040913,SCP,0.913,32.96317346439143,0.0,1.0,0.751,0.352
21,254040913,Cluster-wise Oracle,0.867,27.97402159872105,-0.04600000000000004,1.1783494678469284,0.751,0.352
21,254040913,PCP,0.909,32.957718021605864,-0.0040000000000000036,1.0001655285351367,0.751,0.352
22,366052385,SCP,0.879,31.397963344863214,0.0,1.0,0.856,0.201
22,366052385,Cluster-wise Oracle,0.908,33.560688202619836,0.029000000000000026,0.9355577917622144,0.856,0.201
22,366052385,PCP,0.917,35.74540136977971,0.038000000000000034,0.8783776973171169,0.856,0.201
23,604145854,SCP,0.867,42.4729553244605,0.0,1.0,0.799,0.283
23,604145854,Cluster-wise Oracle,0.83,37.15668784334212,-0.03700000000000003,1.1430770014682827,0.799,0.283
23,604145854,PCP,0.88,42.49071579102766,0.013000000000000012,0.9995820153594374,0.799,0.283
24,156417275,SCP,0.902,48.25844801806165,0.0,1.0,0.766,0.319
24,156417275,Cluster-wise Oracle,0.908,43.30647523948233,0.006000000000000005,1.1143471675123684,0.766,0.319
24,156417275,PCP,0.906,48.21459818847615,0.0040000000000000036,1.000909472052719,0.766,0.319
25,83736694,SCP,0.925,34.9957968963371,0.0,1.0,0.733,0.376
25,83736694,Cluster-wise Oracle,0.926,33.37893929725885,0.0010000000000000009,1.0484394541324153,0.733,0.376
25,83736694,PCP,0.932,37.3887694844495,0.007000000000000006,0.9359975569908052,0.733,0.376
26,700763569,SCP,0.914,53.37266004098429,0.0,1.0,0.708,0.418
26,700763569,Cluster-wise Oracle,0.893,48.61570845790693,-0.02100000000000002,1.0978480358297378,0.708,0.418
26,700763569,PCP,0.893,48.63194321194759,-0.02100000000000002,1.0974815422936262,0.708,0.418
27,997763680,SCP,0.897,39.333114242720754,0.0,1.0,0.71,0.403
27,997763680,Cluster-wise Oracle,0.88,37.8043030839582,-0.017000000000000015,1.0404401360175128,0.71,0.403
27,997763680,PCP,0.922,41.66901556113465,0.025000000000000022,0.9439415285684688,0.71,0.403
28,682867822,SCP,0.914,50.296935932454524,0.0,1.0,0.782,0.292
28,682867822,Cluster-wise Oracle,0.899,48.41822109544572,-0.015000000000000013,1.0388018145752471,0.782,0.292
28,682867822,PCP,0.914,51.181461786220986,0.0,0.9827178469919241,0.782,0.292
29,832346124,SCP,0.916,38.48738434712311,0.0,1.0,0.833,0.233
29,832346124,Cluster-wise Oracle,0.9,36.863682627940776,-0.016000000000000014,1.044046107264163,0.833,0.233
29,832346124,PCP,0.927,40.96397773245603,0.01100000000000001,0.9395421655214236,0.833,0.233
30,414455219,SCP,0.882,26.14607205079397,0.0,1.0,0.846,0.206
30,414455219,Cluster-wise Oracle,0.851,24.420842457195977,-0.031000000000000028,1.070645785321367,0.846,0.206
30,414455219,PCP,0.869,26.548485950463764,-0.013000000000000012,0.9848423032326344,0.846,0.206
31,36777357,SCP,0.923,29.258234825947387,0.0,1.0,0.842,0.248
31,36777357,Cluster-wise Oracle,0.924,28.9007995209639,0.0010000000000000009,1.0123676614802373,0.842,0.248
31,36777357,PCP,0.956,32.710226174725754,0.03299999999999992,0.8944675181902099,0.842,0.248
32,650520512,SCP,0.904,35.70952079090848,0.0,1.0,0.717,0.409
