coverage_cqr_ignore,length_cqr_ignore,coverage_pcp_base,length_pcp_base,pcp_base_frac_inf,pcp_base_precision,pcp_base_clusters,pcp_base_cluster_r2,coverage_em_pcp,length_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,use_x_in_em,em_converged,em_iter,em_loglik
0.905,4.2728818906039745,0.901,4.150121649447863,0.0,20.0,1.0,2.220446049250313e-16,0.8966666666666666,4.1406397899123295,0.0,1.0,4.0,,0.7609932354178658,1.4311375930217096,0.7267550135537765,7,4,0.75,False,True,48,-5830.752270222598
0.909,4.372524965962449,0.9046666666666666,4.270777141097797,0.0,20.0,1.0,0.0,0.8956666666666667,4.257796734397328,0.0,1.0,4.0,,0.7396044019446254,1.1047598172764204,0.7689624742956512,7,4,1.0,False,True,38,-5842.134830957299
0.897,4.672694261851535,0.8986666666666666,4.568857722818128,0.0,20.0,1.0,0.0,0.8973333333333333,4.558123394360395,0.0,1.0,4.0,,0.7589250639821181,0.526676275755207,0.6848868228572913,7,4,1.5,False,True,35,-5880.72657835795
0.9176666666666666,5.391727990055356,0.9146666666666666,5.211592621180555,0.0,20.0,1.0,0.0,0.916,5.186122532355003,0.0,1.0,4.0,,0.7618547882715094,0.5403074969542002,0.7313455314653478,7,4,2.0,False,True,20,-5987.88625944908
0.8983333333333333,4.203887747864285,0.9003333333333333,4.16042669170779,0.0,20.0,1.0,-2.220446049250313e-16,0.895,4.102905574169797,0.0,1.0,4.0,,0.7488839045626979,6.968873248096291,0.7850548106520353,8,4,0.5,False,True,37,-6051.881855958062
0.9096666666666666,4.250067275615526,0.8956666666666667,4.083398743935973,0.0,20.0,1.0,0.0,0.9003333333333333,4.135288952710189,0.0,1.0,4.0,,0.7370212883955467,1.1353968120507951,0.7848101865820112,8,4,0.75,False,True,43,-5757.65920613491
0.879,4.199063339463769,0.875,4.082667030246924,0.0,20.0,1.0,0.0,0.8726666666666667,4.079848250053823,0.0,1.0,4.0,,0.7454779786655696,2.255640638603926,0.7767772554236835,8,4,1.0,False,True,27,-6005.404151697099
0.916,4.882857476950657,0.9166666666666666,4.716833014134977,0.0,20.0,1.0,-2.220446049250313e-16,0.911,4.686781898589229,0.0,1.0,4.0,,0.7645930279006661,0.5416891930800913,0.7253371943182174,8,4,1.5,False,True,35,-5935.536197656795
0.9123333333333333,5.194235726227231,0.903,5.011969111758447,0.0,20.0,1.0,0.0,0.8966666666666666,4.962019294974199,0.0,1.0,4.0,,0.7583724141726368,0.5357816860526944,0.7129170383859409,8,4,2.0,False,True,26,-5989.82532383459
0.896,4.058671629598736,0.8956666666666667,3.9788368325271017,0.0,20.0,1.0,0.0,0.899,3.96550722930082,0.0,1.0,4.0,,0.759824129284184,1.2921461258780322,0.7234393789778936,9,4,0.5,False,True,25,-5737.09741034783
0.8933333333333333,4.283215901383212,0.9013333333333333,4.344025163299777,0.0,20.0,1.0,0.0,0.9003333333333333,4.252380193886985,0.0,1.0,4.0,,0.7592558484101702,1.3166736811425066,0.7390814702304875,9,4,0.75,False,True,13,-5811.87761462512
0.8993333333333333,4.4046756459356695,0.8996666666666666,4.3699550649192815,0.0,20.0,1.0,0.0,0.8996666666666666,4.373506677889069,0.0,1.0,4.0,,0.7553804935495453,1.1068718184218616,0.7572349717533446,9,4,1.0,False,True,25,-5848.574018291874
0.9106666666666666,4.845633779460267,0.9073333333333333,4.800610291256024,0.0,20.0,1.0,-2.220446049250313e-16,0.907,4.729659753189758,0.0,1.0,4.0,,0.7637009984567105,0.5325132040538844,0.7103222377012672,9,4,1.5,False,True,37,-5834.722762547072
0.8813333333333333,5.032622761435408,0.8966666666666666,5.141688115097843,0.0,20.0,1.0,0.0,0.8933333333333333,5.0838172194896485,0.0,1.0,4.0,,0.7618830035249566,0.5456163921305782,0.7416602672411744,9,4,2.0,False,True,19,-5957.005715548414
0.9023333333333333,4.156935286857492,0.904,4.021977150159606,0.0,20.0,1.0,-2.220446049250313e-16,0.895,3.9511244573316726,0.0,1.0,4.0,,0.7596477821766348,1.386419151708913,0.722176659312868,10,4,0.5,False,True,47,-5726.373662960632
0.876,4.0417446573752285,0.8756666666666667,3.9435212005866798,0.0,20.0,1.0,0.0,0.879,3.986990916097933,0.0,1.0,4.0,,0.7498028462509628,1.196300525374329,0.7769433442788394,10,4,0.75,False,True,77,-5743.989237211936
0.889,4.383500025661112,0.8853333333333333,4.1731234338129015,0.0,20.0,1.0,-2.220446049250313e-16,0.893,4.181608034875346,0.0,1.0,4.0,,0.7591380183493089,0.5524614614651598,0.7406585850834962,10,4,1.0,False,True,50,-5785.983912865621
0.904,4.7415240214147865,0.9073333333333333,4.666440819179143,0.0,20.0,1.0,1.1102230246251565e-16,0.9003333333333333,4.613147583356425,0.0,1.0,4.0,,0.7566312311427736,0.5506763423248724,0.7453001532560977,10,4,1.5,False,True,35,-5847.32698434249
0.8956666666666667,5.0072017987782855,0.9063333333333333,5.171476210599079,0.0,20.0,1.0,0.0,0.9036666666666666,5.117432914839394,0.0,1.0,4.0,,0.7595260510765418,0.5413466965513677,0.7271966437252092,10,4,2.0,False,True,21,-5980.166896562408
