coverage_cqr_ignore,length_cqr_ignore,coverage_pcp_base,length_pcp_base,pcp_base_frac_inf,pcp_base_precision,pcp_base_clusters,pcp_base_cluster_r2,coverage_em_pcp,length_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,use_x_in_em,em_converged,em_iter,em_loglik
0.9006666666666666,13.241720040091542,0.9063333333333333,16.556807674156772,0.0,20.0,1.0,0.0,0.878,13.65982335139334,0.0,1.0,4.0,,0.7502706307649406,1.3089083230617329,0.7394308057796621,3,4,0.5,False,True,24,-7290.059549090288
0.894,12.920730365881182,0.9046666666666666,15.669974425337275,0.0,20.0,1.0,0.0,0.8733333333333333,13.33695312555289,0.0,1.0,4.0,,0.7580797341489854,0.5585185597193506,0.7561034977855453,3,4,0.75,False,True,37,-7233.734993522366
0.9096666666666666,13.365402901371429,0.906,16.34305531616672,0.0,20.0,1.0,0.0,0.889,13.867353707767267,0.0,1.0,4.0,,0.7578822536859291,0.5275647366335083,0.7067633829781986,3,4,1.0,False,True,77,-7150.353887021691
0.898,13.629184194013595,0.8916666666666667,15.72313655091504,0.0,20.0,1.0,-2.220446049250313e-16,0.8836666666666667,14.074168876457591,0.0,1.0,4.0,,0.7632553456728531,0.5484151867497655,0.7427685514424024,3,4,1.5,False,True,59,-7316.562309562456
0.909,13.964335895673244,0.9093333333333333,16.468672706854385,0.0,20.0,1.0,0.0,0.897,14.191865045101872,0.0,1.0,4.0,,0.7634149248768964,0.5456779937175728,0.7305339194437995,3,4,2.0,False,True,31,-7326.227221530331
0.9123333333333333,13.337306664299772,0.911,15.968770320131654,0.0,20.0,1.0,0.0,0.8873333333333333,14.800398920895093,0.0,1.0,4.0,,0.7369209868250494,2.121242058655213,0.7796447037572056,4,4,0.5,False,True,18,-7398.418448489168
0.9193333333333333,13.242021971799694,0.9053333333333333,16.164081383901955,0.0,20.0,1.0,0.0,0.8886666666666667,13.508121329611171,0.0,1.0,4.0,,0.7599090220343787,1.1223793100905728,0.7634171691396864,4,4,0.75,False,True,23,-7332.500600392172
0.902,13.218590658462976,0.8963333333333333,15.74129100432081,0.0,20.0,1.0,0.0,0.8776666666666667,14.278580919208228,0.0,1.0,4.0,,0.7627271093820609,0.5380670256501631,0.7201915917081635,4,4,1.0,False,True,42,-7155.031048830691
0.9053333333333333,13.22444321038819,0.9023333333333333,15.390827830753809,0.0,20.0,1.0,0.0,0.8806666666666667,13.740806406815624,0.0,1.0,4.0,,0.7602759735644442,0.5658006964269819,0.7625152057932395,4,4,1.5,False,True,82,-7193.620948301377
0.9016666666666666,13.816353023830214,0.9023333333333333,16.16515172787294,0.0,20.0,1.0,0.0,0.875,14.241176249689012,0.0,1.0,4.0,,0.7609025137721889,0.5334401508718419,0.7100596772819454,4,4,2.0,False,True,43,-7215.9419142701645
0.9046666666666666,13.487971506987087,0.896,15.315437006867258,0.0,20.0,1.0,2.220446049250313e-16,0.882,14.149436727012876,0.0,1.0,4.0,,0.7432901431601853,1.2068021139927374,0.7711353373768624,5,4,0.5,False,True,11,-7349.863292920471
0.877,12.8856244654939,0.893,15.371532415553704,0.0,20.0,1.0,0.0,0.8606666666666667,12.9463316527978,0.0,1.0,4.0,,0.7451082698725644,1.0906615835407252,0.7685777576717883,5,4,0.75,False,True,19,-7304.187412998495
0.881,12.907183712234815,0.8956666666666667,16.177007479266717,0.0,20.0,1.0,0.0,0.879,14.011863524758107,0.0,1.0,4.0,,0.7629214903686962,0.5379909291253391,0.7229354520074315,5,4,1.0,False,True,46,-7162.516984901333
